,env,method,orientation,d,src,nei,d_est,d_err_absolute,d_err_relative
154,los,riot,front,1.0,C3:29,57:81,0.9760845,0.02391549999999998,0.02391549999999998
155,los,riot,front,1.0,C3:29,57:81,0.9669114,0.033088600000000024,0.033088600000000024
156,los,riot,front,1.0,C3:29,57:81,0.9251096,0.07489040000000002,0.07489040000000002
157,los,riot,front,1.0,C3:29,57:81,0.9933736,0.006626400000000032,0.006626400000000032
158,los,riot,front,1.0,C3:29,57:81,0.9831313,0.01686869999999996,0.01686869999999996
159,los,riot,front,1.0,C3:29,57:81,0.9637869,0.0362131,0.0362131
160,los,riot,front,1.0,C3:29,57:81,0.96759,0.03241000000000005,0.03241000000000005
161,los,riot,front,1.0,C3:29,57:81,1.0103739,0.010373900000000047,0.010373900000000047
162,los,riot,front,1.0,C3:29,57:81,1.0275936,0.027593600000000107,0.027593600000000107
163,los,riot,front,1.0,C3:29,57:81,1.0084433,0.008443299999999931,0.008443299999999931
164,los,riot,front,1.0,C3:29,57:81,1.0048347,0.00483469999999997,0.00483469999999997
165,los,riot,front,1.0,C3:29,57:81,0.9951625,0.00483750000000005,0.00483750000000005
166,los,riot,front,1.0,C3:29,57:81,1.0220414,0.02204139999999999,0.02204139999999999
167,los,riot,front,1.0,C3:29,57:81,0.9807996,0.019200400000000006,0.019200400000000006
168,los,riot,front,1.0,C3:29,57:81,0.9772752,0.02272479999999999,0.02272479999999999
169,los,riot,front,1.0,C3:29,57:81,0.9612473,0.03875269999999997,0.03875269999999997
170,los,riot,front,1.0,C3:29,57:81,0.9815636,0.01843640000000002,0.01843640000000002
171,los,riot,front,1.0,C3:29,57:81,0.9482575,0.051742500000000025,0.051742500000000025
172,los,riot,front,1.0,C3:29,57:81,0.9513927,0.04860730000000002,0.04860730000000002
173,los,riot,front,1.0,C3:29,57:81,0.9911666,0.008833399999999991,0.008833399999999991
174,los,riot,front,1.0,C3:29,57:81,0.9963425,0.00365749999999998,0.00365749999999998
175,los,riot,front,1.0,C3:29,57:81,0.9762586,0.023741400000000024,0.023741400000000024
176,los,riot,front,1.0,C3:29,57:81,0.9906665,0.009333499999999995,0.009333499999999995
177,los,riot,front,1.0,C3:29,57:81,0.9588179,0.0411821,0.0411821
178,los,riot,front,1.0,C3:29,57:81,0.9945912,0.005408799999999991,0.005408799999999991
179,los,riot,front,1.0,C3:29,57:81,0.9889156,0.011084399999999994,0.011084399999999994
180,los,riot,front,1.0,C3:29,57:81,0.9739851,0.026014899999999952,0.026014899999999952
181,los,riot,front,1.0,C3:29,57:81,0.9712506,0.028749400000000036,0.028749400000000036
182,los,riot,front,1.0,C3:29,57:81,0.9926482,0.007351800000000019,0.007351800000000019
183,los,riot,front,1.0,C3:29,57:81,0.9943124,0.005687600000000015,0.005687600000000015
184,los,riot,front,1.0,C3:29,57:81,1.0540264,0.05402639999999992,0.05402639999999992
185,los,riot,front,1.0,C3:29,57:81,0.9726955,0.027304499999999954,0.027304499999999954
186,los,riot,front,1.0,C3:29,57:81,0.9829758,0.017024200000000045,0.017024200000000045
187,los,riot,front,1.0,C3:29,57:81,1.0452026,0.04520260000000009,0.04520260000000009
188,los,riot,front,1.0,C3:29,57:81,0.9842394,0.015760600000000013,0.015760600000000013
189,los,riot,front,1.0,C3:29,57:81,0.9942152,0.005784800000000034,0.005784800000000034
190,los,riot,front,1.0,C3:29,57:81,0.9569727,0.04302729999999999,0.04302729999999999
191,los,riot,front,1.0,C3:29,57:81,0.9601073,0.0398927,0.0398927
192,los,riot,front,1.0,C3:29,57:81,1.0170711,0.017071099999999895,0.017071099999999895
193,los,riot,front,1.0,C3:29,57:81,1.0162242,0.01622419999999991,0.01622419999999991
194,los,riot,front,1.0,C3:29,57:81,0.9818939,0.018106100000000014,0.018106100000000014
195,los,riot,front,1.0,C3:29,57:81,0.9361709,0.06382909999999997,0.06382909999999997
196,los,riot,front,1.0,C3:29,57:81,0.9880427,0.011957299999999949,0.011957299999999949
197,los,riot,front,1.0,C3:29,57:81,0.9952971,0.004702899999999954,0.004702899999999954
198,los,riot,front,1.0,C3:29,57:81,1.0063059,0.0063059000000000864,0.0063059000000000864
199,los,riot,front,1.0,C3:29,57:81,1.0157496,0.01574959999999992,0.01574959999999992
200,los,riot,front,1.0,C3:29,57:81,0.9660621,0.033937899999999965,0.033937899999999965
201,los,riot,front,1.0,C3:29,57:81,1.0329437,0.03294369999999991,0.03294369999999991
202,los,riot,front,1.0,C3:29,57:81,1.0287866,0.028786600000000107,0.028786600000000107
203,los,riot,front,1.0,C3:29,57:81,1.0284349,0.02843489999999993,0.02843489999999993
204,los,riot,front,1.0,C3:29,57:81,1.0009744,0.0009744000000000419,0.0009744000000000419
205,los,riot,front,1.0,C3:29,57:81,1.0064406,0.0064405999999999075,0.0064405999999999075
206,los,riot,front,1.0,C3:29,57:81,0.9905959,0.009404100000000026,0.009404100000000026
